Inf	29.874621	30.015401	36.237058	
26.632166	26.669844	26.957505	33.168167	
22.773119	22.863753	23.482514	29.666827	
28.106595	28.133484	28.341468	34.558057	
Inf	29.560947	29.709888	35.930758	
Inf	29.909596	30.049269	36.271010	
26.661696	26.699120	26.984946	33.195745	
27.602766	27.632943	27.865429	34.080186	
Inf	28.921517	29.095915	35.315028	
24.313435	24.377359	24.850562	31.047749	
28.432003	28.456961	28.650461	34.868136	
26.618950	26.656742	26.945248	33.155849	
27.425129	27.456558	27.698324	33.912390	
Inf	29.509737	29.662565	35.883308	
Inf	31.482586	31.580467	37.805394	
Inf	30.744292	30.859983	37.083550	
Inf	30.640341	30.758783	36.982140	
Inf	30.879494	30.991702	37.215534	
Inf	29.504244	29.657261	35.877990	
Inf	28.863919	29.040582	35.259524	
28.405548	28.430658	28.625298	34.842888	
Inf	30.466802	30.589980	36.812976	
28.456282	28.481101	28.673560	34.891314	
Inf	28.737875	28.919594	35.138156	
27.430875	27.462262	27.703660	33.917748	
27.606680	27.636830	27.869116	34.083887	
Inf	30.012772	30.149238	36.371222	
27.248405	27.281131	27.532480	33.745833	
28.033060	28.060406	28.271805	34.488138	
27.449474	27.480729	27.721203	33.935364	
25.419550	25.469243	25.843350	32.047686	
27.705566	27.735042	27.962314	34.177460	
28.555683	28.579943	28.768197	34.986267	
27.542583	27.573178	27.808770	34.023295	
Inf	29.599874	29.749635	35.970611	
Inf	29.549116	29.700597	35.921442	
Inf	29.475205	29.629224	35.849877	
Inf	30.247325	30.376760	36.599279	
Inf	30.421250	30.545702	36.768601	
Inf	28.990899	29.162606	35.381922	
27.552084	27.582613	27.817712	34.032274	
24.309872	24.373847	24.847693	31.044857	
26.192393	26.234052	26.550634	32.759170	
Inf	30.487995	30.610585	36.833626	
Inf	Inf	33.013802	39.240852	
Inf	30.699483	30.816353	37.039829	
27.827606	27.856270	28.077497	34.293095	
Inf	29.267492	29.428868	35.648965	
26.822922	26.858993	27.134922	33.346452	
Inf	29.455271	29.609981	35.830582	
27.873432	27.901796	28.120794	34.336558	
27.380551	27.412303	27.656453	33.870341	
27.491832	27.522785	27.761026	33.975354	
Inf	31.099807	31.206556	37.430806	
27.324067	27.356231	27.603434	33.817095	
25.401434	25.451333	25.826898	32.031129	
27.425944	27.457367	27.699090	33.913159	
26.151270	26.193323	26.512744	32.721071	
25.606595	25.654213	26.013563	32.218972	
28.433840	28.458787	28.652208	34.869889	
Inf	29.696676	29.843211	36.064432	
28.162483	28.189031	28.394455	34.611236	
Inf	28.992449	29.164096	35.383417	
Inf	29.692767	29.839431	36.060642	
27.905234	27.933393	28.150856	34.366735	
26.763160	26.799726	27.079286	33.290548	
Inf	31.038010	31.146263	37.370398	
Inf	29.512282	29.665022	35.885772	
26.495435	26.534308	26.830692	33.040712	
27.368353	27.400193	27.644999	33.858838	
26.912584	26.947923	27.218489	33.430416	
Inf	29.916856	30.056303	36.278061	
27.536322	27.566961	27.802878	34.017379	
27.037732	27.072074	27.335321	33.547790	
Inf	29.466601	29.620918	35.841549	
Inf	29.184103	29.348528	35.568394	
26.671137	26.708480	26.993718	33.204560	
26.633500	26.671166	26.958757	33.169426	
Inf	31.035186	31.143509	37.367638	
Inf	30.693260	30.810294	37.033758	
27.427254	27.458667	27.700321	33.914394	
Inf	29.243081	29.405344	35.625374	
Inf	29.777798	29.921682	36.143104	
Inf	30.780766	30.895507	37.119146	
Inf	29.875847	30.016589	36.238249	
27.097675	27.131549	27.391357	33.604082	
27.388670	27.420363	27.664077	33.877997	
27.663099	27.692862	27.922274	34.137260	
27.058931	27.093106	27.355132	33.567692	
27.968124	27.995879	28.210339	34.426442	
27.661886	27.691658	27.921131	34.136113	
28.041675	28.068967	28.279964	34.496326	
Inf	29.712853	29.858856	36.080117	
Inf	29.199032	29.362907	35.582815	
Inf	30.166276	30.298100	36.520437	
Inf	30.158452	30.290509	36.512829	
Inf	29.881787	30.022340	36.244015	
27.806396	27.835199	28.057466	34.272986	
26.883557	26.919130	27.191422	33.403221	
28.409291	28.434379	28.628858	34.846460	
26.981851	27.016634	27.283125	33.495354	
26.654338	26.691825	26.978111	33.188876	
27.715064	27.744475	27.971271	34.186453	
27.887103	27.915379	28.133716	34.349530	
Inf	29.547660	29.699190	35.920032	
27.075405	27.109452	27.370533	33.583163	
27.892394	27.920635	28.138718	34.354550	
26.305596	26.346192	26.655082	32.864182	
Inf	29.870158	30.011080	36.232726	
Inf	29.046504	29.216083	35.435560	
Inf	31.038453	31.146696	37.370831	
28.481871	28.506545	28.697913	34.915749	
27.726204	27.755540	27.981779	34.197002	
Inf	29.177837	29.342493	35.562342	
Inf	29.723244	29.868906	36.090193	
25.152016	25.204833	25.601029	31.803766	
24.295253	24.359441	24.834745	31.031805	
25.191430	25.243775	25.636642	31.839620	
27.569316	27.599725	27.833932	34.048560	
Inf	29.470922	29.625090	35.845732	
24.272143	24.336669	24.813714	31.010603	
Inf	30.502478	30.624668	36.847739	
26.840385	26.876311	27.151188	33.362796	
24.139898	24.206393	24.697511	30.893447	
Inf	30.267511	30.396358	36.618922	
Inf	29.216888	29.380108	35.600065	
26.655124	26.692604	26.978841	33.189610	
25.202234	25.254450	25.646410	31.849453	
27.238367	27.271168	27.523073	33.736384	
Inf	30.176477	30.307998	36.530359	
Inf	29.290605	29.451146	35.671306	
23.049549	23.134700	23.750849	29.938008	
25.917286	25.961645	26.297680	32.504791	
25.443198	25.492624	25.864834	32.069308	
23.924536	23.994365	24.508191	30.702517	
26.434550	26.473968	26.774310	32.984039	
Inf	28.968693	29.141257	35.360508	
27.864568	27.892990	28.112418	34.328149	
25.217941	25.269970	25.660613	31.863751	
26.849359	26.885211	27.159549	33.371197	
27.685147	27.714761	27.943059	34.158129	
25.352391	25.402851	25.782392	31.986335	
22.151427	22.255738	22.995103	29.173790	
26.795867	26.832161	27.109728	33.321137	
28.128536	28.155291	28.362266	34.578931	
26.796335	26.832625	27.110164	33.321575	
18.715736	18.940306	20.354215	26.489174	
25.931581	25.975796	26.310793	32.517979	
27.899762	27.927955	28.145683	34.361542	
21.937588	22.047050	22.818672	28.995166	
21.111222	21.243030	22.148490	28.315826	
24.422732	24.485087	24.947772	31.145732	
26.255600	26.296662	26.608928	32.817780	
28.343754	28.369221	28.566550	34.783938	
Inf	30.146253	30.278673	36.500965	
Inf	31.567611	31.663622	37.888693	
26.641825	26.679419	26.966488	33.177196	
28.430406	28.455373	28.648942	34.866612	
26.458926	26.498124	26.796876	33.006722	
Inf	30.325613	30.452781	36.675473	
26.653127	26.690624	26.976986	33.187745	
26.288950	26.329701	26.639711	32.848729	
23.789037	23.861047	24.389644	30.582927	
Inf	29.036054	29.206031	35.425478	
26.612432	26.650280	26.939197	33.149767	
26.560492	26.598791	26.891001	33.101329	
24.789732	24.847092	25.275130	31.475572	
27.785407	27.814348	28.037648	34.253091	
27.246111	27.278854	27.530331	33.743674	
28.082060	28.109101	28.318219	34.534722	
27.823460	27.852150	28.073581	34.289163	
27.304805	27.337112	27.585364	33.798947	
27.912767	27.940877	28.157979	34.373885	
25.503034	25.551790	25.919242	32.124062	
Inf	28.933048	29.106996	35.326143	
Inf	30.928170	31.039148	37.263074	
Inf	28.957751	29.130738	35.349958	
Inf	29.981435	30.118868	36.340779	
24.304942	24.368989	24.843328	31.040457	
26.613972	26.651806	26.940626	33.151204	
Inf	29.611319	29.760695	35.981700	
Inf	29.850922	29.992456	36.214056	
Inf	28.980464	29.152573	35.371859	
26.681306	26.718563	27.003168	33.214057	
27.723401	27.752756	27.979135	34.194348	
25.214670	25.266739	25.657656	31.860774	
28.522870	28.547313	28.736945	34.954911	
24.035907	24.103992	24.605959	30.801125	
26.877777	26.913397	27.186034	33.397808	
27.265508	27.298106	27.548512	33.761935	
28.128050	28.154808	28.361806	34.578468	
28.148207	28.174841	28.380917	34.597648	
26.498335	26.537183	26.833380	33.043414	
25.391148	25.441164	25.817560	32.021730	
Inf	29.012883	29.183745	35.403125	
27.856619	27.885093	28.104907	34.320610	
Inf	29.573266	29.723926	35.944834	
28.149104	28.175733	28.381768	34.598502	
28.335196	28.360714	28.558418	34.775777	
Inf	30.275493	30.404109	36.626690	
Inf	29.582723	29.733063	35.953995	
28.173767	28.200246	28.405158	34.621976	
Inf	29.531634	29.683711	35.904512	
Inf	29.282192	29.443036	35.663173	
Inf	28.980195	29.152314	35.371599	
Inf	30.015082	30.151477	36.373467	
26.231134	26.272427	26.586356	32.795086	
26.944722	26.979802	27.248470	33.460538	
Inf	29.819692	29.962225	36.183749	
Inf	30.263307	30.392276	36.614831	
Inf	30.909524	31.020971	37.244861	
Inf	28.943637	29.117172	35.336351	
26.805475	26.841689	27.118673	33.330125	
Inf	29.698237	29.844721	36.065945	
Inf	29.520492	29.672950	35.893722	
27.827564	27.856227	28.077457	34.293054	
26.517538	26.556216	26.851175	33.061301	
26.916273	26.951582	27.221930	33.433873	
27.443779	27.475074	27.715850	33.929989	
Inf	29.527635	29.679849	35.900639	
Inf	28.928691	29.102808	35.321942	
27.159110	27.192511	27.448840	33.661822	
24.103319	24.170369	24.665279	30.860946	
26.543456	26.581905	26.875202	33.085450	
Inf	29.532990	29.685021	35.905825	
Inf	30.794189	30.908582	37.132247	
Inf	30.780297	30.895050	37.118688	
Inf	28.894471	29.069928	35.288962	
24.817207	24.874209	25.299752	31.500373	
27.345216	27.377225	27.623281	33.837027	
Inf	29.855755	29.997135	36.218747	
Inf	29.355369	29.513591	35.733926	
28.370555	28.395867	28.592025	34.809501	
28.427078	28.452064	28.645776	34.863435	
26.296993	26.337669	26.647137	32.856195	
26.981441	27.016227	27.282743	33.494970	
26.429472	26.468935	26.769609	32.979314	
Inf	30.190577	30.321680	36.544072	
Inf	28.925460	29.099704	35.318829	
Inf	29.690972	29.837695	36.058901	
Inf	30.263570	30.392532	36.615087	
Inf	31.345662	31.446628	37.671319	
Inf	31.320309	31.421858	37.646504	
Inf	30.166893	30.298699	36.521038	
Inf	30.672480	30.790065	37.013487	
27.786495	27.815429	28.038676	34.254123	
Inf	30.640362	30.758804	36.982161	
Inf	30.196887	30.327803	36.550210	
Inf	30.158919	30.290962	36.513283	
26.679226	26.716500	27.001234	33.212114	
25.124328	25.177479	25.576029	31.778595	
26.944131	26.979216	27.247919	33.459984	
27.969275	27.997023	28.211428	34.427536	
27.851432	27.879939	28.100005	34.315689	
28.643171	28.666950	28.851576	35.069919	
Inf	29.445854	29.600892	35.821468	
Inf	30.546161	30.667151	36.890313	
Inf	Inf	32.002493	38.228120	
Inf	29.132963	29.299286	35.519009	
Inf	30.529011	30.650471	36.873597	
27.227314	27.260198	27.512715	33.725981	
Inf	28.811308	28.990064	35.208849	
Inf	28.786635	28.966381	35.185091	
Inf	30.972029	31.081911	37.305921	
Inf	30.428823	30.553063	36.775978	
Inf	29.319025	29.478544	35.698781	
Inf	31.365719	31.466227	37.690953	
Inf	29.324512	29.483835	35.704087	
27.649286	27.679144	27.909256	34.124190	
Inf	28.909727	29.084586	35.303664	
25.800433	25.845991	26.190624	32.397106	
Inf	30.773442	30.888373	37.111998	
Inf	30.394929	30.520123	36.742965	
Inf	30.685480	30.802720	37.026168	
26.953717	26.988725	27.256865	33.468971	
24.226217	24.291420	24.773697	30.970261	
27.262557	27.295177	27.545746	33.759157	
Inf	31.337256	31.438415	37.663092	
Inf	29.097268	29.264928	35.484549	
Inf	30.237545	30.367267	36.589764	
Inf	29.577619	29.728132	35.949051	
28.655746	28.679462	28.863572	35.081954	
28.421273	28.446292	28.640254	34.857894	
25.020964	25.075381	25.482834	31.684757	
27.690122	27.719702	27.947750	34.162838	
Inf	29.143351	29.309286	35.529038	
28.186504	28.212906	28.417240	34.634102	
Inf	30.147820	30.280194	36.502490	
27.532552	27.563218	27.799330	34.013817	
28.581962	28.606077	28.793234	35.011386	
28.627289	28.651155	28.836434	35.054728	
Inf	29.778440	29.922303	36.143726	
26.792076	26.828402	27.106199	33.317591	
26.799031	26.835299	27.112673	33.324097	
28.093689	28.120658	28.329238	34.545782	
Inf	29.633594	29.782224	36.003285	
26.279776	26.320612	26.631241	32.840214	
26.714983	26.751954	27.034472	33.245515	
27.364849	27.396715	27.641710	33.855535	
28.010786	28.038272	28.250716	34.466971	
Inf	30.391390	30.516684	36.739518	
Inf	29.490664	29.644149	35.864843	
Inf	29.305877	29.465868	35.686069	
23.832636	23.903937	24.427740	30.621362	
Inf	30.278519	30.407047	36.629635	
26.550255	26.588644	26.881507	33.091787	
28.196142	28.222486	28.426384	34.643278	
Inf	30.093939	30.227930	36.450103	
26.182378	26.224133	26.541404	32.749889	
28.680867	28.704880	28.887945	35.106406	
Inf	29.430055	29.585645	35.806179	
Inf	28.736005	28.917800	35.136356	
25.333266	25.383946	25.765049	31.968878	
24.476979	24.538569	24.995976	31.194313	
28.109398	28.136270	28.344126	34.560724	
26.520540	26.559191	26.853957	33.064097	
Inf	30.297133	30.425121	36.647751	
Inf	30.568709	30.689084	36.912293	
27.698437	27.727961	27.955591	34.170710	
27.976135	28.003839	28.217919	34.434051	
27.301348	27.333679	27.582121	33.795689	
28.422020	28.447035	28.640964	34.858607	
27.808173	27.836964	28.059144	34.274670	
26.360006	26.400101	26.705356	32.914724	
21.496837	21.617712	22.460308	28.632075	
24.254373	24.319161	24.798585	30.995352	
27.118598	27.152310	27.410928	33.623741	
26.733274	26.770091	27.051483	33.262609	
26.012970	26.056371	26.385516	32.593131	
25.302110	25.353151	25.736809	31.940453	
26.512582	26.551303	26.846581	33.056683	
26.515558	26.554253	26.849340	33.059456	
27.103563	27.137391	27.396864	33.609614	
27.914672	27.942769	28.159780	34.375692	
28.005996	28.033512	28.246182	34.462419	
27.151448	27.184908	27.441668	33.654619	
27.464192	27.495342	27.735037	33.949257	
Inf	28.927851	29.102001	35.321133	
23.076882	23.161509	23.774143	29.961541	
28.187032	28.213431	28.417741	34.634605	
28.014939	28.042399	28.254648	34.470917	
24.244216	24.309153	24.789604	30.986298	
24.682181	24.740961	25.178890	31.378621	
27.714083	27.743501	27.970347	34.185524	
Inf	29.804316	29.947343	36.168830	
27.944776	27.972681	28.188251	34.404272	
Inf	29.525965	29.678236	35.899022	
27.553934	27.584451	27.819453	34.034022	
27.491305	27.522262	27.760531	33.974856	
Inf	29.095575	29.263298	35.482915	
25.608071	25.655673	26.014909	32.220326	
27.713953	27.743372	27.970224	34.185401	
Inf	29.780519	29.924315	36.145743	
Inf	31.062209	31.169870	37.394050	
28.557588	28.581839	28.770012	34.988088	
21.977618	22.085911	22.791467	28.967616	
23.901510	23.971705	24.488013	30.682163	
27.495416	27.526344	27.764396	33.978738	
28.548577	28.572877	28.761428	34.979476	
28.389846	28.415046	28.610366	34.827904	
22.134767	22.239471	22.981449	29.159969	
24.557049	24.617528	25.067244	31.266131	
27.661189	27.690965	27.920474	34.135453	
26.794574	26.830879	27.108524	33.319927	
20.902498	21.040619	21.975838	28.140585	
27.016065	27.050577	27.315077	33.527454	
28.319831	28.345439	28.543818	34.761127	
27.499486	27.530385	27.768224	33.982582	
24.427101	24.489393	24.951602	31.149592	
23.299962	23.380419	23.965564	30.154881	
23.564906	23.640672	24.194316	30.385819	
25.812016	25.857453	26.187970	32.394437	
20.966730	21.102878	22.032110	28.197712	
22.831316	22.920778	23.565089	29.750296	
27.176450	27.209719	27.465073	33.678129	
Inf	30.109365	30.242892	36.465100	
25.310836	25.361776	25.743769	31.947458	
28.046824	28.074084	28.284769	34.501150	
22.485109	22.581852	23.273267	29.455240	
24.392691	24.455473	24.920426	31.118171	
24.772531	24.830115	25.259722	31.460051	
24.005293	24.073853	24.577872	30.772799	
26.690893	26.728068	27.012076	33.223009	
Inf	28.970109	29.142617	35.361873	
Inf	29.569129	29.703895	35.924750	
Inf	29.178842	29.343461	35.563313	
28.264152	28.290089	28.490934	34.708058	
28.583653	28.607758	28.794845	35.013002	
25.608768	25.656362	26.015541	32.220963	
22.144143	22.248625	22.986610	29.165193	
26.261428	26.302435	26.605290	32.814123	
28.672145	28.695790	28.879229	35.097661	
27.035282	27.069562	27.309693	33.522044	
26.894066	26.929555	27.201220	33.413066	
25.168555	25.221173	25.615963	31.818801	
25.346616	25.397142	25.777155	31.981063	
26.267363	26.308315	26.616776	32.825671	
25.522147	25.570691	25.936631	32.141561	
24.707558	24.766000	25.197988	31.397861	
19.255635	19.444113	20.565330	26.704794	
24.996181	25.050906	25.460465	31.662233	
Inf	29.173476	29.338292	35.558129	
Inf	Inf	32.052414	38.278118	
25.600410	25.648095	25.994478	32.199769	
24.654533	24.713685	25.147516	31.347012	
23.388889	23.467741	24.038221	30.228244	
Inf	31.281558	31.375619	37.600182	
28.239820	28.265901	28.467834	34.684876	
Inf	29.811888	29.954672	36.176177	
Inf	28.784339	28.964177	35.182881	
21.353147	21.477971	22.302111	28.471668	
Inf	30.689514	30.796288	37.019722	
Inf	29.376549	29.534021	35.754413	
22.793768	22.883993	23.527521	29.712323	
25.301251	25.352302	25.734947	31.938579	
Inf	30.466002	30.589185	36.812179	
Inf	29.608239	29.755675	35.976666	
25.764961	25.810890	26.158096	32.364385	
27.647218	27.677090	27.900355	34.115253	
27.060353	27.094517	27.356461	33.569027	
26.012446	26.055853	26.384982	32.592593	
26.570162	26.608378	26.899874	33.110247	
24.128128	24.194717	24.649132	30.844663	
24.768373	24.824700	25.200460	31.400352	
28.128902	28.155654	28.362436	34.579101	
19.779526	19.956989	21.121661	27.272043	
25.222073	25.274054	25.664346	31.867509	
26.827788	26.863818	27.139454	33.351006	
Inf	29.407062	29.563458	35.783931	
27.620558	27.650501	27.859862	34.074596	
Inf	29.086244	29.254117	35.473707	
28.102837	28.129750	28.337907	34.554483	
Inf	28.933261	29.098194	35.317315	
27.365352	27.397214	27.641294	33.855117	
24.989043	25.043857	25.452440	31.654151	
23.713738	23.786989	24.323736	30.516428	
25.470248	25.519370	25.889057	32.093686	
27.392301	27.423967	27.667485	33.881420	
27.722673	27.752033	27.973395	34.188584	
28.319505	28.344813	28.520059	34.737285	
26.558957	26.597270	26.889174	33.099493	
23.807286	23.869384	24.312802	30.505394	
24.059350	24.127073	24.621072	30.816366	
Inf	29.172723	29.314675	35.534442	
25.990871	26.034491	26.364954	32.572451	
27.428415	27.459821	27.701208	33.915285	
27.650062	27.679914	27.909971	34.124908	
26.879372	26.914980	27.187500	33.399281	
25.042327	25.096480	25.496123	31.698139	
Inf	30.142380	30.274459	36.496741	
28.577849	28.601980	28.777985	34.996087	
23.832695	23.903995	24.427221	30.620838	
27.156109	27.189533	27.442832	33.655788	
27.351053	27.383020	27.628629	33.842398	
26.794298	26.830605	27.106158	33.317550	
Inf	29.370974	29.528615	35.748992	
Inf	31.489071	31.586808	37.811747	
Inf	29.292288	29.444225	35.664365	
24.946880	25.002223	25.403051	31.604414	
Inf	30.718048	30.834428	37.057942	
26.728009	26.764870	27.046584	33.257686	
22.330110	22.423057	23.033716	29.212871	
21.883341	21.994145	22.744595	28.920142	
26.094735	26.137334	26.460693	32.668731	
26.896069	26.931541	27.203088	33.414942	
27.859970	27.888422	28.108073	34.323788	
27.230248	27.263110	27.515459	33.728737	
28.174071	28.200548	28.405446	34.622266	
28.379938	28.405195	28.600945	34.818451	
Inf	29.866971	30.007994	36.229633	
Inf	28.873814	29.050085	35.269057	
Inf	28.859083	29.030900	35.249813	
27.866628	27.895037	28.112960	34.328694	
24.879678	24.935875	25.346312	31.547270	
23.678852	23.752686	24.286781	30.479136	
25.585460	25.633308	25.994201	32.199491	
26.297148	26.337823	26.645469	32.854518	
26.829760	26.865774	27.141284	33.352845	
